id_municipio,id_municipio_nome,id_estacao,estacao,data_fundacao,latitude,longitude,altitude
3305554,Seropédica,A601,Seropedica-Ecologia Agricola,2000-05-24,-22.75777777,-43.68472221,35.0
3304557,Rio de Janeiro,A602,Rio De Janeiro-Marambaia,2002-11-08,-23.05027777,-43.59555555,12.0
3301702,Duque de Caxias,A603,Duque De Caxias - Xerem,2002-10-21,-22.58972221,-43.28222221,22.0
3300902,Cambuci,A604,Cambuci,2002-11-20,-21.58749999,-41.95833333,46.0
3300258,Arraial do Cabo,A606,Arraial Do Cabo,2006-09-22,-22.97527777,-42.02138888,5.0
3301009,Campos dos Goytacazes,A607,Campos Dos Goytacazes,2006-09-25,-21.71472222,-41.34388888,17.0
3302403,Macaé,A608,Macae,2006-09-22,-22.3761111,-41.81194444,28.0
3304201,Resende,A609,Resende,2006-09-29,-22.45138888,-44.44499999,438.83
3303906,Petrópolis,A610,Pico Do Couto,2006-10-22,-22.46472222,-43.29138888,1777.0
3306107,Valença,A611,Valenca,2006-09-27,-22.35805555,-43.69555555,370.0
3305802,Teresópolis,A618,Teresopolis-Parque Nacional,2006-11-01,-22.4486111,-42.98694444,981.0
3303807,Paraty,A619,Parati,2006-11-19,-23.2236111,-44.72694443,3.0
3301009,Campos dos Goytacazes,A620,Campos Dos Goytacazes - Sao Tome,2008-06-13,-22.04166666,-41.05166666,7.0
3304557,Rio de Janeiro,A621,Rio De Janeiro - Vila Militar,2007-04-13,-22.86138888,-43.41138888,30.43
3303401,Nova Friburgo,A624,Nova Friburgo - Salinas,2010-09-18,-22.33472221,-42.67694443,1070.0
3306008,Três Rios,A625,Tres Rios,2016-06-08,-22.09833333,-43.20833333,295.0
3304409,Rio Claro,A626,Rio Claro,2016-06-03,-22.653579,-44.040916,516.0
3303302,Niterói,A627,Niteroi,2018-07-13,-22.867389,-43.102056,6.0
3300100,Angra dos Reis,A628,Angra Dos Reis,2017-08-25,-22.97555554,-44.30333333,6.0
3301207,Carmo,A629,Carmo,2018-10-11,-21.938745,-42.600936,293.0
3304607,Santa Maria Madalena,A630,Santa Maria Madalena,2018-10-16,-21.95055555,-42.01027777,517.0
3304201,Resende,A635,Itatiaia,2017-09-01,-22.37388888,-44.70305555,2450.0
3304557,Rio de Janeiro,A636,Rio De Janeiro - Jacarepagua,2017-08-10,-22.939883,-43.402897,20.0
3304557,Rio de Janeiro,A652,Rio De Janeiro - Forte De Copacabana,2007-05-18,-22.98833333,-43.19055555,25.59
3305604,Silva Jardim,A659,Silva Jardim,2015-08-28,-22.64583333,-42.41555555,19.0
3305505,Saquarema,A667,Saquarema - Sampaio Correia,2015-09-02,-22.8711111,-42.60888888,26.0
3550308,São Paulo,A701,Sao Paulo - Mirante,2006-07-25,-23.496294,-46.620088,785.64
3506003,Bauru,A705,Bauru,2001-08-30,-22.358052,-49.028877,636.17
3509700,Campos do Jordão,A706,Campos Do Jordao,2002-03-13,-22.75027777,-45.60388888,1662.95
3541406,Presidente Prudente,A707,Presidente Prudente,2003-02-04,-22.119867,-51.408637,431.92
3516200,Franca,A708,Franca,2002-12-12,-20.58444444,-47.38249999,1002.74
3548906,São Carlos,A711,Sao Carlos,2006-09-04,-21.980353,-47.883927,859.29
3520301,Iguape,A712,Iguape,2006-07-20,-24.67166666,-47.54583333,2.7
3521002,Iperó,A713,Sorocaba,2006-08-22,-23.4261111,-47.58555555,609.33
3522406,Itapeva,A714,Itapeva,2006-07-25,-23.98194443,-48.88583333,743.33
3550209,São Miguel Arcanjo,A715,Sao Miguel Arcanjo,2006-08-15,-23.85194444,-48.16472222,675.68
3534708,Ourinhos,A716,Ourinhos,2006-08-29,-22.94888888,-49.89444444,443.49
3542206,Rancharia,A718,Rancharia,2006-09-01,-22.37277777,-50.97472221,398.75
3504503,Avaré,A725,Avare,2006-09-22,-23.10166666,-48.9411111,776.36
3538709,Piracicaba,A726,Piracicaba,2006-09-26,-22.70305555,-47.62333332,566.46
3527108,Lins,A727,Lins,2006-09-20,-21.66611111,-49.73472221,460.65
3554102,Taubaté,A728,Taubate,2006-12-20,-23.04166666,-45.52083332,582.26
3557105,Votuporanga,A729,Votuporanga,2006-12-04,-20.40333333,-49.96611111,510.37
3524808,Jales,A733,Jales,2007-08-22,-20.165,-50.59499999,460.44
3506201,Bento de Abreu,A734,Valparaiso,2007-08-30,-21.31916666,-50.93027777,381.9
3525706,José Bonifácio,A735,Jose Bonifacio,2007-09-03,-21.08555555,-49.92027777,408.35
3503703,Ariranha,A736,Ariranha,2007-11-13,-21.13305554,-48.84055555,525.44
3519600,Ibitinga,A737,Ibitinga,2007-11-09,-21.85555555,-48.79972221,496.75
3510807,Casa Branca,A738,Casa Branca,2007-06-25,-21.78055554,-47.07527777,734.15
3522604,Itapira,A739,Itapira,2007-11-05,-22.415,-46.80527777,634.89
3550001,São Luís do Paraitinga,A740,Sao Luis Do Paraitinga,2007-11-01,-23.22833332,-45.41694443,862.3
3505302,Barra Bonita,A741,Barra Bonita,2008-04-24,-22.4711111,-48.5575,533.68
3507605,Bragança Paulista,A744,Braganca Paulista,2017-12-20,-22.951944,-46.530556,891.0
3505401,Barra do Turvo,A746,Barra Do Turvo,2008-07-03,-24.96277777,-48.41638888,659.89
3540903,Pradópolis,A747,Pradopolis,2008-04-22,-21.33833333,-48.11388888,540.41
3505500,Barretos,A748,Barretos,2010-06-19,-20.55916666,-48.54499999,534.36
3524105,Ituverava,A753,Ituverava,2008-07-17,-20.35972222,-47.77527777,610.58
3505708,Barueri,A755,Barueri,2011-03-29,-23.52388888,-46.86944443,776.5
3514403,Dracena,A762,Dracena,2016-11-03,-21.45777777,-51.55222222,720.0
3529005,Marília,A763,Marilia,2017-05-15,-22.235222,-49.965111,660.0
3506102,Bebedouro,A764,Bebedouro,2016-10-27,-20.94916666,-48.48999999,790.0
3506359,Bertioga,A765,Bertioga,2017-02-01,-23.84472221,-46.14333333,5.0
3542602,Registro,A766,Registro,2017-02-09,-24.53305554,-47.86416666,35.0
3550704,São Sebastião,A767,Sao Sebastiao,2017-10-25,-23.81083333,-45.4025,24.0
3555000,Tupã,A768,Tupa,2017-05-12,-21.927251,-50.490251,498.0
3508603,Cachoeira Paulista,A769,Cachoeira Paulista,2017-10-20,-22.68888888,-45.00555555,586.0
3550902,São Simão,A770,Sao Simao,2019-07-03,-21.46111111,-47.57944443,620.0
3550308,São Paulo,A771,Sao Paulo - Interlagos,2018-03-14,-23.724501,-46.677501,771.0
4106902,Curitiba,A807,Curitiba,2003-01-28,-25.4486111,-49.23055554,922.91
4111407,Ivaí,A818,Ivai,2006-07-11,-25.01083333,-50.85388888,803.58
4104907,Castro,A819,Castro,2006-07-09,-24.78694444,-49.99916666,993.6
